,word,allMoviesCount,%used,actionCount,scifiCount,horrorCount,comedyCount,dramaCount,fantasyCount,thrillerCount,actionRelativeUsage,scifiRelativeUsage,horrorRelativeUsage,comedyRelativeUsage,dramaRelativeUsage,fantasyRelativeUsage,thrillerRelativeUsage
77,action hero,384,0.17720350715274574,357.0,138.0,25.0,62.0,45.0,81.0,196.0,2.968255941499086,1.467385877829742,0.37684869169510804,0.33488836104513064,0.2382537834691502,0.8907760579005759,1.259050847457627
78,car crash,375,0.17305029995385326,231.0,101.0,51.0,91.0,81.0,33.0,217.0,1.8302926829268293,1.1685377122877123,0.8962201591511937,0.5796470588235294,0.5088232044198895,0.3868833070511376,1.6784285714285716
79,two word title,375,0.17305029995385326,123.0,82.0,55.0,118.0,143.0,44.0,142.0,0.9578835616438357,1.0686312087912089,1.1177147239263803,0.9111443123938879,1.1531276595744682,0.600651408835552,1.1430371681415927
80,battle,374,0.17258883248730963,268.0,153.0,23.0,63.0,80.0,134.0,99.0,2.208086956521739,1.868355931924148,0.38237139272271015,0.3784993394980185,0.4916756756756757,1.7679258038619172,0.6244826629681
81,character repeating someone else's dialogue,373,0.17212736502076603,202.0,106.0,53.0,81.0,116.0,48.0,180.0,1.5731095890410958,1.2696703296703296,0.9580491132332879,0.522536170212766,0.7874149253731344,0.5886650170849534,1.3508910891089108
82,black comedy,371,0.17120443008767883,163.0,61.0,59.0,157.0,105.0,52.0,157.0,1.2543553299492385,0.7169528883814598,1.1248201438848922,1.1960402010050253,0.735808936825886,0.6704240472356415,1.1960402010050253
83,stabbed in the chest,366,0.1688970927549608,224.0,117.0,105.0,31.0,75.0,80.0,168.0,1.7686666666666668,1.3952729554486507,2.001798561151079,0.18333940182054617,0.4704827586206897,1.0056360708534622,1.2089620253164557
84,warrior,363,0.16751269035532995,307.0,139.0,28.0,45.0,58.0,110.0,143.0,2.669667304015296,1.6384408644900688,0.46259351620947625,0.26071337579617837,0.34168911917098443,1.3827495974235104,0.9466724890829694
85,torture,363,0.16751269035532995,205.0,81.0,60.0,57.0,112.0,53.0,182.0,1.7107155963302751,0.9861725718227962,1.1521739130434783,0.37407792207792206,0.798394984326019,0.688218659680203,1.4572816901408452
86,rain,363,0.16751269035532995,114.0,68.0,52.0,78.0,166.0,64.0,147.0,0.9016904347826086,0.8918900744987701,1.0816326530612246,0.5805957446808511,1.4435334608030592,0.9267942028985506,1.2334981549815498
87,elevator,362,0.16705122288878635,182.0,108.0,44.0,98.0,103.0,59.0,168.0,1.4271310344827588,1.345054945054945,0.8119777158774373,0.6712409638554216,0.7108406676783005,0.7595913991794999,1.2863030303030303
88,sequel,356,0.16428241808952468,218.0,117.0,61.0,98.0,32.0,80.0,138.0,1.8849125475285173,1.5198906356801094,1.1833821376281113,0.6899442724458205,0.20440449438202246,1.0904487515278505,1.0356831683168317
89,telephone call,356,0.16428241808952468,64.0,46.0,37.0,134.0,182.0,32.0,137.0,0.5124507042253521,0.6393729137756441,0.8239495798319328,1.2237590361445783,1.8394133333333333,0.4827053140096618,1.258739393939394
90,hero,352,0.16243654822335024,238.0,104.0,20.0,95.0,69.0,90.0,132.0,2.1224000000000003,1.3153504880212956,0.364010989010989,0.6616539050535989,0.4621678939617084,1.2379410598652043,0.9745714285714285
91,police officer,349,0.16105214582371943,151.0,76.0,47.0,93.0,111.0,46.0,166.0,1.2741150278293136,1.0081826967820453,0.96850699844479,0.7084824120603015,0.8718963730569947,0.6464803312629399,1.4407786259541986
92,car chase,346,0.1596677434240886,250.0,75.0,12.0,88.0,55.0,23.0,212.0,2.4451612903225803,0.9544986263736264,0.22617354196301565,0.6383157894736842,0.379,0.3008188824662813,1.916850894632207
